Type of Fuel,1991 Rural ,1991 Urban,1991 Total,2002 Rural,2002 Urban,2002 Total,2014 Rural,2014 Urban,2014 Total
Electricity (All Forms),1.5,33.6,5.6,2.7,39.3,7.8,10.3,51.4,20.4
Electricity – 0tio0l Grid,0,0,0,0,0,0,5.1,47.7,15.5
Electricity- Other ,0,0,0,0,0,0,5.2,3.7,4.9
Gas ,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.3
Paraffin (All Forms),85.8,65.3,83.1,90.1,57.7,85.6,70.8,34.1,61.5
Tadooba (Local Candle),0,0,0,81.5,33.3,74.8,60.3,25.1,51.7
Lantern,0,0,0,8.6,24.4,10.8,10.9,12.1,11.2
Fire wood ,11.4,0.8,10,4.3,0.3,3.8,2.9,0.3,2.3
Other ,1.2,0.2,1.1,0.9,0.2,0.8,26.2,22.7,25.3
Total,100,100,100,100,100,100,100,100,100
