District,Household,Non-Household
   Buikwe,410659,12112
   Bukomansimbi,150417,996
   Butambala,99528,1312
   Buvuma,86231,3659
   Gomba,158665,1257
   Kalangala,50178,4115
   Kalungu,177936,5296
   Kampala,1469625,37455
   Kayunga,363994,4068
   Kiboga,143910,4308
   Kyankwanzi,212681,2012
   Luwero,447713,9245
   Lwengo,272095,2858
   Lyantonde,92770,983
   Masaka,286374,10630
   Mityana,322982,5982
   Mpigi,243767,6781
   Mubende,668307,16030
   Mukono,580016,16788
   Nakaseke,182923,14446
   Nakasongola,176951,4848
   Rakai,508526,7783
   Ssembabule,250523,2074
   Wakiso,1959725,37693
   Amuria,269753,1175
   Budaka,206662,935
   Bududa,208752,1421
   Bugiri,381783,1130
   Bukedea,202757,843
   Bukwo,88671,685
   Bulambuli,173560,948
   Busia,320516,3146
   Butaleja,243441,712
   Buyende,322145,922
   Iganga,500524,3673
   Jinja,460653,10589
   Kaberamaido,213848,1178
   Kaliro,234445,1754
   Kamuli,481617,4702
   Kapchorwa,104130,1056
   Katakwi,164005,2226
   Kibuku,201215,818
   Kumi,237788,1480
   Kween,92869,798
   Luuka,237387,633
   Manafwa,352818,1007
   Mayuge,470775,2464
   Mbale,481562,7398
   Namayingo,213253,2189
   Namutumba,251833,729
   Ngora,140457,1462
   Pallisa,384279,2611
   Serere,283228,2675
   Sironko,241473,949
   Soroti,290928,5905
   Tororo,512474,4608
   Abim,106996,970
   Adjumani,223196,2055
   Agago,226356,1436
   Alebtong,227037,504
   Amolatar,145209,1957
   Amudat,96601,9166
   Amuru,184976,1720
   Apac,365632,2994
   Arua,775080,6997
   Dokolo,181885,1208
   Gulu,425094,11251
   Kaabong,165859,2020
   Kitgum,202625,1423
   Koboko,204969,1526
   Kole,238059,1268
   Kotido,168907,12143
   Lamwo,134077,302
   Lira,400462,7581
   Maracha,185468,666
   Moroto,97431,6001
   Moyo,137594,1418
   Nakapiripirit,147439,9251
   Napak,141216,1008
   Nebbi,392764,4030
   Nwoya,132026,1480
   Otuke,103806,448
   Oyam,381563,2081
   Pader,176647,1357
   Yumbe,478407,6415
   Zombo,238968,1114
   Buhweju,120209,511
   Buliisa,108038,5123
   Bundibugyo,223055,1332
   Bushenyi,228974,5466
   Hoima,564468,8518
   Ibanda,244692,4933
   Isingiro,483362,2998
   Kabale,517476,10755
   Kabarole,463744,5492
   Kamwenge,412021,2433
   Kanungu,250224,1920
   Kasese,688770,6222
   Kibaale,780403,4685
   Kiruhura,325325,2752
   Kiryandongo,263597,2600
   Kisoro,280304,1401
   Kyegegwa,280703,934
   Kyenjojo,421387,817
   Masindi,281753,9360
   Mbarara,460748,11881
   Mitooma,182867,577
   Ntoroko,66267,738
   Ntungamo,478726,5115
   Rubirizi,128062,1087
   Rukungiri,310454,4240
   Sheema,203278,4065
Total ,34141353,493297
