District, Male  1991, Female  1991, Total 1991, Male 2002, Female 2002, Total 2002, Male 2014, Female  2014, Total  2014
Buikwe,125593,124918,250511,162931,166927,329858,212827,209944,422771
Bukomansimbi,62950,63599,126549,68330,71226,139556,75629,75784,151413
Butambala,36644,37418,74062,42598,44157,86755,50722,50118,100840
Buvuma,10944,7538,18482,23858,18625,42483,48847,41043,89890
Gomba,60339,59211,119550,66852,66412,133264,82652,77270,159922
Kalangala,9929,6442,16371,20849,13917,34766,31047,23246,54293
Kalungu,74667,77361,152028,78505,82179,160684,92735,90497,183232
Kampala,377225,397016,774241,569075,620067,1189142,724326,782754,1507080
Kayunga,116705,119472,236177,143099,151514,294613,181920,186142,368062
Kiboga,50241,47912,98153,55229,53668,108897,77169,71049,148218
Kyakwanzi,22297,21157,43454,61851,58724,120575,112037,102656,214693
Luwero,126537,128853,255390,167979,173338,341317,230451,226507,456958
Lwengo,104725,107829,212554,117625,124627,242252,134774,140179,274953
Lyantonde ,26219,26881,53100,32687,33352,66039,46866,46887,93753
Masaka,101004,102562,203566,111327,116843,228170,149857,147147,297004
Mityana,113439,110088,223527,133054,133054,266108,168509,160455,328964
Mpigi,78854,78514,157368,94061,93710,187771,128203,122345,250548
Mubende,140642,136807,277449,211582,211840,423422,351746,332591,684337
Mukono,160338,159096,319434,209461,213591,423052,297154,299650,596804
Nakaseke,47389,46415,93804,68769,68509,137278,107607,89762,197369
Nakasongola,50473,50024,100497,63799,63265,127064,94526,87273,181799
Rakai,162863,167538,330401,197356,206970,404326,257565,258744,516309
Ssembabule,72206,71833,144039,89226,90819,180045,127033,125564,252597
Wakiso,279866,283021,562887,440534,467454,907988,962121,1035297,1997418
Bugiri,83112,88157,171269,128650,138294,266944,186400,196513,382913
Busia,79400,84197,163597,107799,117209,225008,157415,166247,323662
Iganga,112696,122652,235348,168894,186579,355473,242543,261654,504197
Jinja,143336,146140,289476,190329,197244,387573,233166,238076,471242
Kaberamaido,39617,41918,81535,64307,67343,131650,106555,108471,215026
Kamuli,120088,129229,249317,173408,187991,361399,238729,247590,486319
Kapchorwa,24501,24166,48667,36386,37882,74268,51782,53404,105186
