District,Total
Buikwe,422771
Bukomansimbi,151413
Butambala,100840
Buvuma,89890
Gomba,159922
Kalangala,54293
Kalungu,183232
Kampala,1507080
Kayunga,368062
Kiboga,148218
Kyankwanzi,214693
Luwero,456958
Lwengo,274953
Lyantonde,93753
Masaka,297004
Mityana,328964
Mpigi,250548
Mubende,684337
Mukono,596804
Nakaseke,197369
Nakasongola,181799
Rakai,516309
Ssembabule,252597
Wakiso,1997418
Amuria,270928
Budaka,207597
Bududa,210173
Bugiri,382913
Bukedea,203600
Bukwo,89356
Bulambuli,174508
Busia,323662
Butaleja,244153
Buyende,323067
Iganga,504197
Jinja,471242
Kaberamaido,215026
Kaliro,236199
Kamuli,486319
Kapchorwa,105186
Katakwi,166231
Kibuku,202033
Kumi,239268
Kween,93667
Luuka,238020
Manafwa,353825
Mayuge,473239
Mbale,488960
Namayingo,215442
Namutumba,252562
Ngora,141919
Pallisa,386890
Serere,285903
Sironko,242422
Soroti,296833
Tororo,517082
Abim,107966
Adjumani,225251
Agago,227792
Alebtong,227541
Amolatar,147166
Amudat,105767
Amuru,186696
Apac,368626
Arua,782077
Dokolo,183093
Gulu,436345
Kaabong,167879
Kitgum,204048
Koboko,206495
Kole,239327
Kotido,181050
Lamwo,134379
Lira,408043
Maracha,186134
Moroto,103432
Moyo,139012
Nakapiripirit,156690
Napak,142224
Nebbi,396794
Nwoya,133506
Otuke,104254
Oyam,383644
Pader,178004
Yumbe,484822
Zombo,240082
Buhweju,120720
Buliisa,113161
Bundibugyo,224387
Bushenyi,234440
Hoima,572986
Ibanda,249625
Isingiro,486360
Kabale,528231
Kabarole,469236
Kamwenge,414454
Kanungu,252144
Kasese,694992
Kibaale,785088
Kiruhura,328077
Kiryandongo,266197
Kisoro,281705
Kyegegwa,281637
Kyenjojo,422204
Masindi,291113
Mbarara,472629
Mitooma,183444
Ntoroko,67005
Ntungamo,483841
Rubirizi,129149
Rukungiri,314694
Sheema,207343
Total,34634650
