Urban Centre,1991,2002,2014
Kampala Capital City,774241,1189142,1516210
Kira Town Council,1,2,313761
Mbarara Municipality,41031,69363,195013
Mukono Municipality,7406,46506,161996
Gulu Municipality,38297,119430,152276
0nsa0 Town Council,3,4,144441
Masaka Municipality,49585,67768,103829
Kasese Municipality,18750,53907,101679
Hoima Municipality,4616,27934,100625
Lira Municipality,27568,80879,99059
Mbale  Municipality,53987,71130,96189
Masindi Municipality,10839,28300,94622
Njeru Town Council,36731,51236,81052
Jinja Municipality,65169,71213,72931
Entebbe Municipality,42763,55086,69958
Arua  Municipality,22217,43929,62657
Wakiso Town Council,5,14603,60911
Busia Municipality,27967,36630,55958
Fort Portal Municipality,32789,40993,54275
Iganga Municipality,19740,39472,53870
Total,1273696,2107521,3591312
